Song,Artist,Duration,BPM,Notes,Drop Order
Jump,Van Halen,2:55,129,Tuning: E,0
All The Small Things,Blink-182,2:47,149,Tuning: E,0
Mr. Brightside,The Killers,3:43,148,Tuning: E,0
The Middle,Jimmy Eat World,2:45,162,Tuning: E,0
Just What I Needed,The Cars,3:45,127,Tuning: E,0
Should I Stay or Should I Go,The Clash,3:09,113,Tuning: E,0
I Want You to Want Me,Cheap Trick,2:38,172,Tuning: E (Live),0
I Miss You,Blink-182,3:47,110,Tuning: E,0
Pet Sematary,Ramones,3:29,148,Tuning: E,0
Inside Out,Eve 6,3:39,175,Tuning: E,0
Takin' Care of Business,Bachman-Turner Overdrive,4:49,130,Tuning: E,0
Stone in Love,Journey,4:26,118,Tuning: E,0
Round and Round,Ratt,4:26,127,Tuning: Eb,0
Rock and Roll All Nite,Kiss,2:57,138,Tuning: Eb (Live),0
